sigma1,sigma2,mu1,mu2,logit_p
1.055354229,0.21943478,7.592800097,10.12889598,-2.760892992
1.192439039,0.209320987,7.936341059,10.1252221,-2.54171564
0.491116506,0.216188543,8.302594384,10.13418013,-3.14929227
0.959310816,0.20785105,7.936771936,10.12041311,-3.018245719
1.046945997,0.215941672,7.828573163,10.13117837,-3.164616812
0.548038193,0.217727522,8.260068876,10.13379122,-3.088695958
0.616407906,0.20202059,8.46668587,10.12646986,-3.275832889
0.904379637,0.225899588,7.966654661,10.13090643,-3.191560471
0.930041332,0.211326725,8.001695283,10.13222606,-3.088423276
0.65921625,0.210415456,8.277229475,10.13434259,-2.915640399
0.855777363,0.206157296,8.374058224,10.13729439,-2.975570759
0.601775918,0.209227494,8.34822424,10.12978222,-3.288267816
1.116378027,0.210543825,7.976507629,10.1293546,-2.783862265
0.844343146,0.207781958,7.716652932,10.12305168,-2.670704895
1.236753544,0.207399432,7.829181213,10.12894727,-2.634261953
1.333518487,0.216704183,7.961158718,10.13962977,-2.949635354
0.724643233,0.214508831,7.941118981,10.1374312,-3.032097255
0.824185353,0.207305079,8.127137134,10.13084503,-2.918406622
0.867079401,0.214547651,8.108697181,10.13337064,-3.25323431
0.831640672,0.214873517,8.108421269,10.12958786,-3.581181932
0.687660738,0.216751374,8.211164727,10.1348953,-3.088570259
0.901515691,0.206304087,8.097495344,10.14179432,-2.72351383
0.716611414,0.213304775,8.00555182,10.13278306,-3.052910314
0.800970805,0.205259567,8.061105545,10.1230681,-2.681824917
1.325827771,0.212720237,8.240975538,10.13728881,-2.710047097
0.743982313,0.214870379,8.133479104,10.13511479,-3.045070047
0.87060278,0.2058033,8.271423823,10.13141708,-2.613253332
0.629807492,0.223423698,8.115520537,10.14087076,-2.953626282
0.677409865,0.21941116,8.367716461,10.13064564,-3.153994376
0.651981192,0.2141097,8.213000986,10.13160993,-3.151009854
0.628854079,0.218158327,8.418736365,10.13545677,-3.123490478
0.858530287,0.218382491,8.035390807,10.12716788,-3.228743329
0.942120163,0.203755519,8.079359652,10.12423031,-2.843612006
0.764510644,0.208947632,8.025136212,10.12129542,-2.973677949
0.995834665,0.221550783,8.098412016,10.14071904,-2.973555639
0.825091195,0.20256671,8.284607223,10.11296579,-3.070105607
1.065394432,0.208152416,7.658301962,10.13269778,-2.755728925
0.753517749,0.212003131,8.346704573,10.14287079,-3.17942481
0.487653436,0.212149899,8.370517801,10.13036732,-2.982248424
0.825045106,0.217319061,7.917925264,10.12832596,-2.821634025
1.03573787,0.205359495,7.90629492,10.12790689,-2.856154981
1.024519753,0.21301933,7.819199189,10.12258541,-2.788311514
0.944751603,0.21022151,8.09350336,10.12077773,-2.76789769
1.229256272,0.219891189,7.257560557,10.14631444,-2.568235676
0.796301052,0.210957393,8.14015118,10.13066681,-2.97758574
0.7630172,0.216177104,8.205219133,10.13164981,-3.076620854
0.878054461,0.207807596,7.891095212,10.12591745,-2.764038326
0.883638702,0.211543717,7.939463109,10.12310511,-2.628541016
0.987133949,0.203874284,8.183948307,10.12123092,-2.736595798
1.047955009,0.20774696,7.746867821,10.12674587,-2.958338588
0.77160749,0.20377705,7.994290612,10.12816843,-2.884828049
0.843317524,0.209074408,8.155052747,10.13759277,-2.699682928
1.408931061,0.201109524,7.875297087,10.13651707,-2.34324506
0.775539221,0.22343365,7.795447965,10.12756364,-2.747909915
0.891255355,0.213385933,7.998591122,10.12967999,-3.046511168
1.050996584,0.209975408,7.486018888,10.1318659,-2.534652541
0.869307106,0.215818502,7.902017967,10.12625862,-2.654313484
0.629214799,0.211491072,8.231126783,10.12327477,-3.107701158
0.926994872,0.208694047,8.11437201,10.12875324,-2.712747369
0.691479849,0.212345387,8.09440158,10.13124395,-3.023647563
1.046447177,0.219096671,7.878981536,10.13364678,-2.9436555
0.69075862,0.210231764,8.101012647,10.12943379,-3.16552866
1.185381429,0.214250539,7.633751177,10.13115942,-2.599183806
0.865846205,0.219740198,7.995276262,10.13495219,-2.807458589
1.1314736,0.20877637,7.907427892,10.12579966,-2.815566003
1.28041985,0.203430458,7.708969618,10.13205075,-2.416001776
1.003941208,0.215126097,8.234539086,10.14162606,-3.030232045
1.024724084,0.21430934,8.011758599,10.13298936,-2.899384822
